"","x"
"1","Algeria"
"2","Egypt"
"3","Morocco"
"4","Tunisia"
"5","Ethiopia"
"6","Mali"
"7","Mauritius"
"8","South Africa"
"9","Zambia"
"10","Zimbabwe"
"11","Angola"
"12","Benin"
"13","Central African Republic"
"14","Côte d’Ivoire"
"15","Cameroon"
"16","Congo"
"17","Gabon"
"18","Ghana"
"19","Guinea"
"20","Kenya"
"21","Liberia"
"22","Madagascar"
"23","Mozambique"
"24","Malawi"
"25","Rwanda"
"26","Senegal"
"27","Eswatini"
"28","Togo"
"29","United Republic of Tanzania"
"30","Uganda"
"31","Lesotho"
"32","Mauritania"
"33","Burkina Faso"
"34","Gambia"
"35","Niger"
"36","Nigeria"
"37","Sierra Leone"
"38","Chad"
"39","Botswana"
"40","Namibia"
