region,scenario,harv_area,yield,luc,arable_area,production
C_Afr,b,31871301.14093981,4762755.70299761,23625605.34681186,40312203.67928636,151795221270965.3
C_Afr,h,13481088.994258635,11259863.452842148,-16031.359737905412,16670566.972736593,151795221270965.3
C_Afr,p,21211332,7156326.687591582,9441880.98057423,26128479.313048728,151795221270965.3
E_Afr,b,125079566.26273058,5676905.533725142,81449890.70481518,134788991.71278363,710064881872835.75
E_Afr,h,51597067.31927158,13761729.469605446,-76544.38571617495,53262556.62225228,710064881872835.75
E_Afr,p,80971818,8769284.170856034,29892421.353047993,83231522.36101644,710064881872835.75
N_Afr,b,17229364.264801346,10450667.257311188,3884165.5861535226,21356340.43187034,180058352986446.88
N_Afr,h,13459466.37449154,13377822.565662375,-715460.3388435721,16756714.506873248,180058352986446.88
N_Afr,p,13771668,13074549.356435755,-220818.00957979076,17251356.83613703,180058352986446.88
S_Afr,b,10417614.199421968,12674956.964782268,11707626.47783339,25160605.55348752,132042811653378.12
S_Afr,h,5406305.049790204,24423855.19080211,-83378.25151147715,13369600.824142653,132042811653378.12
S_Afr,p,8990160,14687481.830510039,8300353.836660315,21753332.912314445,132042811653378.12
W_Afr,b,215958411.89821813,3974960.0217029136,133176438.92800862,228902277.14996994,858426053645867.9
W_Afr,h,93089750.21554483,9221488.420134587,-72554.00553164593,95653284.21642967,858426053645867.9
W_Afr,p,149420501,5745035.305736713,57358089.417345636,153083927.63930696,858426053645867.9
Africa,b,400556257.76611185,5073912.295775996,253843727.04362258,450520418.5273978,2032387321429494
Africa,h,177033677.9533568,11480229.891427599,-963968.3413407755,195712723.14243445,2032387321429494
Africa,p,274365479,7407591.249588269,104771927.57804838,301448619.0618236,2032387321429494
